Page,URL,Description
29,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:29&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 28 Inorganic chemicals, precious metal compound, isotope"
30,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:30&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 29 Organic chemicals
31,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:31&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 30 Pharmaceutical products
32,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:32&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 31 Fertilizers
33,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:33&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 32 Tanning, dyeing extracts, tannins, derivs,pigments et"
34,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:34&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 33 Essential oils, perfumes, cosmetics, toileteries"
35,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:35&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 34 Soaps, lubricants, waxes, candles, modelling pastes"
36,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:36&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 35 Albuminoids, modified starches, glues, enzymes"
37,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:37&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1"," 36 Explosives, pyrotechnics, matches, pyrophorics, etc"
38,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:38&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 37 Photographic or cinematographic goods
39,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:39&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 38 Miscellaneous chemical products
40,"http://data.un.org/Data.aspx?d=ComTrade&f=_l1Code:40&c=2,3,5,7,8,9,11,12&s=_crEngNameOrderBy:asc,yr:desc,_l2Code:asc&v=1", 39 Plastics and articles thereof
